tenantId,project,repository,branch,commitId,tool,reportType,ruleId,ruleName,severity,type,status,issueKey,filePath,line,introducedAt,fixedAt,tags,owner,metadata
64fa1a2b3c4d5e6f7a8b9c0d,billing-service,github.com/org/billing-service,main,7e05413,semgrep,code_smell,squid:S106,Standard outputs should not be used,high,code_smell,resolved,LINT-1,src/index.ts,21,2025-10-08T19:54:07.127Z,2025-10-08T02:04:52.671Z,"[""auto"",""sample""]",app-team,"{""pipeline"":""ci#101""}"
64fa1a2b3c4d5e6f7a8b9c0d,auth-service,github.com/org/auth-service,develop,5fbd6d7,semgrep,bug,eslint:no-unsafe-assignment,Unsafe assignment from any,critical,bug,open,LINT-2,src/utils.js,22,2025-10-04T09:23:49.738Z,,"[""auto"",""sample""]",platform,"{""pipeline"":""ci#102""}"
64fa1a2b3c4d5e6f7a8b9c0d,inventory-service,github.com/org/inventory-service,develop,4849aa0,sonarqube,code_smell,squid:S106,Standard outputs should not be used,high,code_smell,resolved,SONAR-3,src/app.js,23,2025-10-06T15:27:54.307Z,2025-10-10T21:52:49.548Z,"[""auto"",""sample""]",app-team,"{""pipeline"":""ci#103""}"
64fa1a2b3c4d5e6f7a8b9c0d,inventory-service,github.com/org/inventory-service,main,b513bbe,sonarqube,vulnerability,squid:S2076,OS Command injection medium,medium,vulnerability,resolved,SONAR-4,src/index.ts,24,2025-10-04T17:07:12.825Z,2025-10-11T05:07:05.508Z,"[""auto"",""sample""]",secops,"{""pipeline"":""ci#104""}"
64fa1a2b3c4d5e6f7a8b9c0d,billing-service,github.com/org/billing-service,main,875a4a0,eslint,vulnerability,squid:S2076,OS Command injection medium,high,vulnerability,open,LINT-5,src/app.js,25,2025-10-06T00:55:01.029Z,,"[""auto"",""sample""]",app-team,"{""pipeline"":""ci#105""}"
64fa1a2b3c4d5e6f7a8b9c0d,inventory-service,github.com/org/inventory-service,release,79d2b81,semgrep,vulnerability,squid:S2076,OS Command injection medium,high,vulnerability,resolved,LINT-6,src/controller.js,26,2025-10-06T18:57:10.216Z,2025-10-05T20:39:49.716Z,"[""auto"",""sample""]",app-team,"{""pipeline"":""ci#106""}"
64fa1a2b3c4d5e6f7a8b9c0d,auth-service,github.com/org/auth-service,main,2ccdbc2,sonarqube,vulnerability,squid:S2076,OS Command injection medium,high,vulnerability,resolved,SONAR-7,src/controller.js,27,2025-10-09T12:35:47.373Z,2025-10-10T19:03:17.682Z,"[""auto"",""sample""]",app-team,"{""pipeline"":""ci#107""}"
64fa1a2b3c4d5e6f7a8b9c0d,billing-service,github.com/org/billing-service,main,d24750e,eslint,code_smell,squid:S106,Standard outputs should not be used,medium,code_smell,resolved,LINT-8,src/controller.js,28,2025-10-06T07:33:53.368Z,2025-10-04T16:21:05.230Z,"[""auto"",""sample""]",secops,"{""pipeline"":""ci#108""}"
64fa1a2b3c4d5e6f7a8b9c0d,auth-service,github.com/org/auth-service,develop,6a1c901,eslint,vulnerability,squid:S2076,OS Command injection medium,high,vulnerability,resolved,LINT-9,src/index.ts,29,2025-10-07T11:36:54.344Z,2025-10-06T03:43:11.296Z,"[""auto"",""sample""]",platform,"{""pipeline"":""ci#109""}"
64fa1a2b3c4d5e6f7a8b9c0d,billing-service,github.com/org/billing-service,main,1d9c84f,sonarqube,vulnerability,squid:S2076,OS Command injection medium,medium,vulnerability,resolved,SONAR-10,src/utils.js,30,2025-10-11T00:51:34.517Z,2025-10-10T22:09:06.196Z,"[""auto"",""sample""]",platform,"{""pipeline"":""ci#110""}"
64fa1a2b3c4d5e6f7a8b9c0d,billing-service,github.com/org/billing-service,release,aac77fb,sonarqube,bug,eslint:no-unsafe-assignment,Unsafe assignment from any,low,bug,open,SONAR-11,src/app.js,31,2025-10-04T20:16:48.739Z,,"[""auto"",""sample""]",platform,"{""pipeline"":""ci#111""}"
64fa1a2b3c4d5e6f7a8b9c0d,billing-service,github.com/org/billing-service,release,79aa089,semgrep,vulnerability,squid:S2076,OS Command injection medium,critical,vulnerability,resolved,LINT-12,src/utils.js,32,2025-10-07T04:05:35.664Z,2025-10-09T08:46:14.763Z,"[""auto"",""sample""]",secops,"{""pipeline"":""ci#112""}"
64fa1a2b3c4d5e6f7a8b9c0d,auth-service,github.com/org/auth-service,develop,01a2b0d,sonarqube,vulnerability,squid:S2076,OS Command injection medium,medium,vulnerability,resolved,SONAR-13,src/index.ts,33,2025-10-10T20:12:53.034Z,2025-10-09T19:42:48.014Z,"[""auto"",""sample""]",platform,"{""pipeline"":""ci#113""}"
